,date,hometeam,score,oppteam
225,10-10-2022,Nott'm Forest,1 - 1,Aston Villa
226,15-10-2022,Wolves,1 - 0,Nott'm Forest
227,18-10-2022,Brighton,0 - 0,Nott'm Forest
228,22-10-2022,Nott'm Forest,1 - 0,Liverpool
229,30-10-2022,Arsenal,5 - 0,Nott'm Forest
230,05-11-2022,Nott'm Forest,2 - 2,Brentford
231,12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
232,06-08-2022,Tottenham,4 - 1,Southampton
233,13-08-2022,Southampton,2 - 2,Leeds
234,20-08-2022,Leicester,1 - 2,Southampton
235,27-08-2022,Southampton,0 - 1,Man United
236,30-08-2022,Southampton,2 - 1,Chelsea
237,03-09-2022,Wolves,1 - 0,Southampton
238,16-09-2022,Aston Villa,1 - 0,Southampton
239,01-10-2022,Southampton,1 - 2,Everton
240,08-10-2022,Man City,4 - 0,Southampton
241,16-10-2022,Southampton,1 - 1,West Ham
242,19-10-2022,Bournemouth,0 - 1,Southampton
243,23-10-2022,Southampton,1 - 1,Arsenal
244,29-10-2022,Crystal Palace,1 - 0,Southampton
245,06-11-2022,Southampton,1 - 4,Newcastle
246,12-11-2022,Liverpool,3 - 1,Southampton
247,06-08-2022,Tottenham,4 - 1,Southampton
248,14-08-2022,Chelsea,2 - 2,Tottenham
249,20-08-2022,Tottenham,1 - 0,Wolves
250,28-08-2022,Nott'm Forest,0 - 2,Tottenham
251,31-08-2022,West Ham,1 - 1,Tottenham
252,03-09-2022,Tottenham,2 - 1,Fulham
253,17-09-2022,Tottenham,6 - 2,Leicester
254,01-10-2022,Arsenal,3 - 1,Tottenham
255,08-10-2022,Brighton,0 - 1,Tottenham
256,15-10-2022,Tottenham,2 - 0,Everton
257,19-10-2022,Man United,2 - 0,Tottenham
258,23-10-2022,Tottenham,1 - 2,Newcastle
259,29-10-2022,Bournemouth,2 - 3,Tottenham
260,06-11-2022,Tottenham,1 - 2,Liverpool
261,12-11-2022,Tottenham,4 - 3,Leeds
262,07-08-2022,West Ham,0 - 2,Man City
263,14-08-2022,Nott'm Forest,1 - 0,West Ham
264,21-08-2022,West Ham,0 - 2,Brighton
265,28-08-2022,Aston Villa,0 - 1,West Ham
266,31-08-2022,West Ham,1 - 1,Tottenham
267,03-09-2022,Chelsea,2 - 1,West Ham
268,18-09-2022,Everton,1 - 0,West Ham
269,01-10-2022,West Ham,2 - 0,Wolves
270,09-10-2022,West Ham,3 - 1,Fulham
271,16-10-2022,Southampton,1 - 1,West Ham
272,19-10-2022,Liverpool,1 - 0,West Ham
273,24-10-2022,West Ham,2 - 0,Bournemouth
274,30-10-2022,Man United,1 - 0,West Ham
275,06-11-2022,West Ham,1 - 2,Crystal Palace
276,12-11-2022,West Ham,0 - 2,Leicester
277,06-08-2022,Leeds,2 - 1,Wolves
278,13-08-2022,Wolves,0 - 0,Fulham
279,20-08-2022,Tottenham,1 - 0,Wolves
280,28-08-2022,Wolves,1 - 1,Newcastle
281,31-08-2022,Bournemouth,0 - 0,Wolves
282,03-09-2022,Wolves,1 - 0,Southampton
283,17-09-2022,Wolves,0 - 3,Man City
284,01-10-2022,West Ham,2 - 0,Wolves
285,08-10-2022,Chelsea,3 - 0,Wolves
286,15-10-2022,Wolves,1 - 0,Nott'm Forest
287,18-10-2022,Crystal Palace,2 - 1,Wolves
288,23-10-2022,Wolves,0 - 4,Leicester
289,29-10-2022,Brentford,1 - 1,Wolves
290,05-11-2022,Wolves,2 - 3,Brighton
291,12-11-2022,Wolves,0 - 2,Arsenal
